Age,Workclass,Education,Marital Status,Occupation,Relationship,Capital Gain,Capital Loss,Hours per week,Country,Target
Age <= 28.00,Private,High School grad,Never-Married,Blue-Collar,Own-child,None,None,Hours per week <= 40.00,United-States,"Less than $50
Age <= 28.00,Private,High School grad,Married,Other,Husband,None,None,Hours per week <= 40.00,United-States,"Less than $50
Age <= 28.00,Private,Bachelors,Never-Married,Sales,Own-child,None,None,Hours per week <= 40.00,United-States,"Less than $50
37.00 < Age <= 48.00,Private,Bachelors,Married,White-Collar,Husband,None,None,Hours per week <= 40.00,United-States,"More than $50
28.00 < Age <= 37.00,State-gov,Doctorate,Married,Professional,Husband,None,None,Hours per week > 45.00,United-States,"More than $50
37.00 < Age <= 48.00,Private,Dropout,Married,Admin,Husband,None,None,Hours per week <= 40.00,United-States,"Less than $50
37.00 < Age <= 48.00,Private,Doctorate,Married,Professional,Husband,None,None,Hours per week <= 40.00,Euro_2,"More than $50
Age > 48.00,Private,Dropout,Married,Blue-Collar,Husband,None,None,Hours per week > 45.00,United-States,"More than $50
37.00 < Age <= 48.00,Private,High School grad,Married,Blue-Collar,Husband,High,None,40.00 < Hours per week <= 45.00,United-States,"More than $50
37.00 < Age <= 48.00,Self-emp-inc,Bachelors,Married,White-Collar,Husband,High,None,40.00 < Hours per week <= 45.00,United-States,"More than $50
37.00 < Age <= 48.00,Private,High School grad,Separated,Blue-Collar,Unmarried,None,None,Hours per week <= 40.00,United-States,"Less than $50
37.00 < Age <= 48.00,Private,Dropout,Widowed,Blue-Collar,Not-in-family,None,None,Hours per week <= 40.00,United-States,"Less than $50
Age <= 28.00,Private,Dropout,Never-Married,Service,Own-child,None,None,Hours per week <= 40.00,United-States,"Less than $50
Age > 48.00,Private,Bachelors,Married,White-Collar,Husband,None,Low,Hours per week <= 40.00,United-States,"More than $50
Age > 48.00,Private,Bachelors,Married,Professional,Husband,Low,None,Hours per week <= 40.00,United-States,"More than $50
Age <= 28.00,Private,Bachelors,Never-Married,White-Collar,Own-child,None,None,Hours per week > 45.00,United-States,"Less than $50
28.00 < Age <= 37.00,Private,High School grad,Separated,Service,Not-in-family,None,None,Hours per week <= 40.00,United-States,"Less than $50
37.00 < Age <= 48.00,Self-emp-not-inc,Masters,Married,White-Collar,Husband,High,None,Hours per week > 45.00,United-States,"More than $50
28.00 < Age <= 37.00,Local-gov,High School grad,Married,Service,Husband,None,None,Hours per week <= 40.00,United-States,"Less than $50
37.00 < Age <= 48.00,Private,Bachelors,Married,Professional,Husband,None,None,40.00 < Hours per week <= 45.00,United-States,"More than $50
28.00 < Age <= 37.00,Private,High School grad,Married,Blue-Collar,Not-in-family,None,None,Hours per week <= 40.00,Latin-America,"Less than $50
37.00 < Age <= 48.00,Private,Bachelors,Married,White-Collar,Husband,None,None,Hours per week <= 40.00,British-Commonwealth,"More than $50
28.00 < Age <= 37.00,Private,High School grad,Married,Blue-Collar,Husband,None,None,40.00 < Hours per week <= 45.00,United-States,"Less than $50
28.00 < Age <= 37.00,Private,Associates,Married,Blue-Collar,Husband,None,None,Hours per week <= 40.00,United-States,"More than $50
37.00 < Age <= 48.00,Private,Bachelors,Married,White-Collar,Husband,None,None,Hours per week > 45.00,United-States,"More than $50
37.00 < Age <= 48.00,State-gov,Doctorate,Separated,Professional,Own-child,None,None,Hours per week > 45.00,United-States,"More than $50
Age > 48.00,Private,High School grad,Married,Blue-Collar,Husband,None,None,Hours per week <= 40.00,Euro_1,"Less than $50
37.00 < Age <= 48.00,Private,High School grad,Married,Blue-Collar,Husband,None,None,Hours per week <= 40.00,United-States,"Less than $50
28.00 < Age <= 37.00,Private,Doctorate,Married,Professional,Husband,None,High,Hours per week > 45.00,United-States,"More than $50
28.00 < Age <= 37.00,Self-emp-inc,Bachelors,Never-Married,White-Collar,Not-in-family,None,None,Hours per week > 45.00,United-States,"Less than $50
Age <= 28.00,Private,Dropout,Never-Married,Blue-Collar,Not-in-family,None,None,40.00 < Hours per week <= 45.00,United-States,"Less than $50
37.00 < Age <= 48.00,Private,Bachelors,Married,Professional,Husband,None,None,Hours per week <= 40.00,United-States,"More than $50
Age <= 28.00,Private,High School grad,Never-Married,Admin,Unmarried,None,None,Hours per week <= 40.00,United-States,"Less than $50
28.00 < Age <= 37.00,Private,High School grad,Married,Admin,Husband,None,Low,Hours per week > 45.00,United-States,"More than $50
28.00 < Age <= 37.00,Private,High School grad,Never-Married,Blue-Collar,Own-child,None,None,Hours per week <= 40.00,United-States,"Less than $50
Age > 48.00,Private,High School grad,Married,White-Collar,Husband,None,None,Hours per week <= 40.00,United-States,"Less than $50
37.00 < Age <= 48.00,State-gov,High School grad,Separated,Admin,Unmarried,None,None,Hours per week > 45.00,United-States,"More than $50
Age > 48.00,Private,High School grad,Married,Other,Husband,None,None,Hours per week <= 40.00,United-States,"Less than $50
37.00 < Age <= 48.00,Private,Bachelors,Separated,Professional,Not-in-family,None,None,Hours per week > 45.00,United-States,"More than $50
37.00 < Age <= 48.00,Private,High School grad,Married,White-Collar,Husband,None,None,Hours per week <= 40.00,United-States,"More than $50
28.00 < Age <= 37.00,Private,High School grad,Never-Married,White-Collar,Unmarried,None,None,Hours per week > 45.00,United-States,"Less than $50
Age > 48.00,Local-gov,High School grad,Married,Other,Husband,None,None,Hours per week <= 40.00,United-States,"More than $50
Age > 48.00,Private,Bachelors,Married,Other,Husband,None,None,Hours per week <= 40.00,United-States,"More than $50
37.00 < Age <= 48.00,Private,Masters,Married,Professional,Husband,None,None,Hours per week > 45.00,United-States,"More than $50
28.00 < Age <= 37.00,Private,Bachelors,Married,White-Collar,Husband,None,None,Hours per week > 45.00,Euro_1,"More than $50
37.00 < Age <= 48.00,Federal-gov,Associates,Separated,Other,Not-in-family,None,None,Hours per week <= 40.00,United-States,"Less than $50
Age > 48.00,Private,High School grad,Married,Blue-Collar,Husband,None,None,Hours per week <= 40.00,United-States,"More than $50
37.00 < Age <= 48.00,State-gov,Doctorate,Separated,Professional,Not-in-family,None,None,Hours per week <= 40.00,United-States,"More than $50
Age > 48.00,Self-emp-not-inc,High School grad,Married,Sales,Husband,None,None,Hours per week <= 40.00,United-States,"Less than $50
37.00 < Age <= 48.00,Private,Bachelors,Married,White-Collar,Husband,None,None,Hours per week > 45.00,United-States,"More than $50
37.00 < Age <= 48.00,Private,Bachelors,Married,Admin,Husband,None,None,40.00 < Hours per week <= 45.00,United-States,"More than $50
37.00 < Age <= 48.00,Local-gov,High School grad,Married,Other,Husband,None,None,Hours per week > 45.00,United-States,"More than $50
37.00 < Age <= 48.00,Private,High School grad,Married,Sales,Husband,Low,None,Hours per week <= 40.00,South-America,"Less than $50
Age > 48.00,Self-emp-inc,Bachelors,Married,Sales,Husband,High,None,Hours per week > 45.00,United-States,"More than $50
37.00 < Age <= 48.00,Self-emp-not-inc,High School grad,Married,Service,Wife,None,None,Hours per week <= 40.00,United-States,"More than $50
Age <= 28.00,Private,Bachelors,Never-Married,Sales,Not-in-family,None,None,Hours per week <= 40.00,United-States,"Less than $50
37.00 < Age <= 48.00,Self-emp-inc,High School grad,Married,White-Collar,Husband,None,None,40.00 < Hours per week <= 45.00,United-States,"More than $50
Age > 48.00,Local-gov,Dropout,Married,Admin,Husband,Low,None,Hours per week <= 40.00,United-States,"Less than $50
28.00 < Age <= 37.00,Private,High School grad,Never-Married,White-Collar,Unmarried,None,None,Hours per week <= 40.00,United-States,"Less than $50
28.00 < Age <= 37.00,Private,Bachelors,Married,Professional,Husband,None,Low,Hours per week <= 40.00,South-America,"More than $50
28.00 < Age <= 37.00,Private,High School grad,Married,Admin,Wife,None,None,Hours per week <= 40.00,United-States,"More than $50
Age <= 28.00,Private,High School grad,Never-Married,Blue-Collar,Not-in-family,None,None,Hours per week <= 40.00,United-States,"Less than $50
37.00 < Age <= 48.00,Self-emp-not-inc,Prof-School,Married,Professional,Husband,None,None,40.00 < Hours per week <= 45.00,United-States,"More than $50
Age <= 28.00,Private,High School grad,Never-Married,Blue-Collar,Not-in-family,None,None,Hours per week <= 40.00,United-States,"Less than $50
28.00 < Age <= 37.00,Private,High School grad,Married,Blue-Collar,Husband,None,None,Hours per week <= 40.00,United-States,"More than $50
Age <= 28.00,Private,High School grad,Married,Blue-Collar,Husband,None,None,Hours per week <= 40.00,United-States,"Less than $50
37.00 < Age <= 48.00,Local-gov,High School grad,Separated,Admin,Unmarried,None,None,Hours per week <= 40.00,United-States,"Less than $50
Age > 48.00,Self-emp-not-inc,Bachelors,Married,White-Collar,Husband,None,None,Hours per week <= 40.00,United-States,"Less than $50
Age > 48.00,Private,High School grad,Widowed,Blue-Collar,Unmarried,None,None,Hours per week <= 40.00,United-States,"Less than $50
Age > 48.00,Private,High School grad,Separated,Admin,Unmarried,None,None,Hours per week <= 40.00,United-States,"Less than $50
28.00 < Age <= 37.00,Private,Bachelors,Never-Married,Sales,Not-in-family,None,None,Hours per week > 45.00,United-States,"Less than $50
37.00 < Age <= 48.00,Local-gov,Bachelors,Married,Professional,Husband,None,None,Hours per week <= 40.00,SE-Asia,"More than $50
Age <= 28.00,Private,High School grad,Never-Married,Admin,Own-child,None,None,Hours per week <= 40.00,United-States,"Less than $50
37.00 < Age <= 48.00,Private,Dropout,Separated,Sales,Unmarried,None,None,Hours per week <= 40.00,United-States,"Less than $50
Age <= 28.00,Private,Dropout,Married,Blue-Collar,Own-child,None,None,Hours per week <= 40.00,United-States,"Less than $50
37.00 < Age <= 48.00,Local-gov,Bachelors,Married,Professional,Husband,High,None,Hours per week > 45.00,United-States,"More than $50
37.00 < Age <= 48.00,Local-gov,Bachelors,Widowed,Admin,Not-in-family,None,None,Hours per week <= 40.00,United-States,"Less than $50
37.00 < Age <= 48.00,State-gov,High School grad,Married,Other,Husband,None,None,Hours per week > 45.00,United-States,"More than $50
Age <= 28.00,Self-emp-inc,Bachelors,Never-Married,White-Collar,Own-child,None,None,Hours per week <= 40.00,United-States,"Less than $50
Age > 48.00,Private,Associates,Married,White-Collar,Husband,None,None,Hours per week > 45.00,United-States,"More than $50
Age <= 28.00,State-gov,High School grad,Never-Married,Service,Own-child,None,None,Hours per week <= 40.00,United-States,"Less than $50
28.00 < Age <= 37.00,Private,High School grad,Married,Blue-Collar,Wife,None,None,Hours per week <= 40.00,United-States,"Less than $50
28.00 < Age <= 37.00,Private,Bachelors,Never-Married,Sales,Not-in-family,None,None,Hours per week <= 40.00,United-States,"More than $50
37.00 < Age <= 48.00,Self-emp-not-inc,Associates,Married,Blue-Collar,Husband,None,Low,Hours per week <= 40.00,United-States,"More than $50
37.00 < Age <= 48.00,Private,High School grad,Married,Admin,Wife,None,None,Hours per week <= 40.00,United-States,"More than $50
28.00 < Age <= 37.00,Private,High School grad,Separated,Blue-Collar,Not-in-family,None,None,Hours per week <= 40.00,United-States,"Less than $50
37.00 < Age <= 48.00,Private,Bachelors,Married,Professional,Husband,High,None,Hours per week <= 40.00,United-States,"More than $50
Age > 48.00,Local-gov,High School grad,Married,Blue-Collar,Husband,None,None,40.00 < Hours per week <= 45.00,United-States,"Less than $50
Age > 48.00,Private,Associates,Married,Service,Wife,None,None,Hours per week <= 40.00,United-States,"More than $50
Age > 48.00,Private,High School grad,Married,Blue-Collar,Husband,None,None,Hours per week <= 40.00,United-States,"More than $50
Age > 48.00,Private,High School grad,Married,Blue-Collar,Husband,None,None,Hours per week <= 40.00,United-States,"More than $50
Age <= 28.00,Private,High School grad,Married,Blue-Collar,Husband,None,None,Hours per week > 45.00,United-States,"Less than $50
Age <= 28.00,Private,High School grad,Never-Married,Admin,Not-in-family,None,None,Hours per week <= 40.00,Latin-America,"Less than $50
Age <= 28.00,State-gov,Bachelors,Never-Married,Blue-Collar,Not-in-family,None,None,Hours per week <= 40.00,United-States,"Less than $50
37.00 < Age <= 48.00,Private,High School grad,Separated,Professional,Not-in-family,None,None,Hours per week <= 40.00,Other,"More than $50
Age > 48.00,Private,High School grad,Widowed,Sales,Not-in-family,High,None,Hours per week > 45.00,Euro_1,"More than $50
Age <= 28.00,Private,High School grad,Never-Married,Blue-Collar,Unmarried,None,None,Hours per week <= 40.00,United-States,"Less than $50
37.00 < Age <= 48.00,Private,Prof-School,Married,Professional,Husband,None,None,Hours per week > 45.00,United-States,"More than $50
28.00 < Age <= 37.00,Private,High School grad,Married,Professional,Husband,None,None,Hours per week <= 40.00,United-States,"Less than $50
28.00 < Age <= 37.00,Private,High School grad,Married,Blue-Collar,Husband,None,None,40.00 < Hours per week <= 45.00,United-States,"Less than $50
37.00 < Age <= 48.00,Federal-gov,High School grad,Married,Blue-Collar,Husband,None,None,Hours per week <= 40.00,United-States,"More than $50
37.00 < Age <= 48.00,Self-emp-not-inc,Masters,Married,White-Collar,Husband,None,None,Hours per week > 45.00,United-States,"More than $50
37.00 < Age <= 48.00,Self-emp-not-inc,Associates,Married,Blue-Collar,Husband,None,None,Hours per week > 45.00,United-States,"More than $50
37.00 < Age <= 48.00,Private,High School grad,Married,Blue-Collar,Husband,None,None,Hours per week > 45.00,United-States,"More than $50
28.00 < Age <= 37.00,Federal-gov,High School grad,Separated,White-Collar,Not-in-family,None,None,Hours per week <= 40.00,United-States,"Less than $50
37.00 < Age <= 48.00,Private,Bachelors,Married,Blue-Collar,Husband,None,None,Hours per week <= 40.00,United-States,"More than $50
28.00 < Age <= 37.00,Local-gov,Bachelors,Never-Married,Other,Not-in-family,None,Low,Hours per week > 45.00,United-States,"More than $50
Age <= 28.00,Private,High School grad,Never-Married,Blue-Collar,Own-child,None,None,Hours per week <= 40.00,United-States,"Less than $50
28.00 < Age <= 37.00,Private,High School grad,Never-Married,Blue-Collar,Own-child,None,None,40.00 < Hours per week <= 45.00,United-States,"Less than $50
Age <= 28.00,Private,Bachelors,Never-Married,Blue-Collar,Own-child,None,None,Hours per week <= 40.00,United-States,"Less than $50
Age > 48.00,Private,Masters,Separated,Admin,Not-in-family,None,High,40.00 < Hours per week <= 45.00,United-States,"Less than $50
Age <= 28.00,Private,High School grad,Never-Married,Blue-Collar,Own-child,None,None,Hours per week > 45.00,United-States,"Less than $50
37.00 < Age <= 48.00,Private,High School grad,Married,Blue-Collar,Husband,Low,None,Hours per week > 45.00,United-States,"More than $50
Age <= 28.00,Private,High School grad,Never-Married,Blue-Collar,Not-in-family,None,None,Hours per week > 45.00,United-States,"Less than $50
28.00 < Age <= 37.00,Private,Masters,Married,Professional,Husband,None,None,Hours per week > 45.00,United-States,"More than $50
Age <= 28.00,Self-emp-not-inc,High School grad,Never-Married,Blue-Collar,Own-child,None,None,Hours per week <= 40.00,United-States,"Less than $50
